week_start_sunday,schedule,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun_id,Mon_id,Tue_id,Wed_id,Thu_id,Fri_id,Sat_id
2028-12-31,mon-peak,20,100,43,34,30,28,24,5x6-0A-DWY,5x6-0A-COE,5x6-0A-COF,5x6-0A-DVA,5x6-0B-BXB,5x6-0B-AWQ,5x6-0A-CLU
2029-01-07,mon-peak,20,100,43,34,30,28,24,5x6-0A-DVX,5x6-0A-AUV,5x6-0A-CBY,5x6-0A-DQR,5x6-0B-CLC,5x6-0B-AVW,5x6-0A-CKC
2029-01-14,mon-peak,20,50,43,34,30,28,24,5x6-0A-DRG,5x6-0B-CIB,5x6-0A-BZN,5x6-0A-DKU,5x6-0B-CRW,5x6-0B-ATG,5x6-0A-CDM
2029-01-21,mon-peak,20,50,43,34,30,28,24,5x6-0A-DKW,5x6-0B-CML,5x6-0A-BTT,5x6-0A-CPZ,5x6-0B-CTC,5x6-0B-ASN,5x6-0A-CCE
2029-01-28,mon-peak,20,59,50,43,34,28,24,5x6-0A-DKS,5x6-0A-CTG,5x6-0B-CMX,5x6-0A-BCS,5x6-0A-CHR,5x6-0B-ANY,5x6-0A-CBQ
2029-02-04,mon-peak,20,59,50,42,34,28,24,5x6-0A-DIT,5x6-0A-CMD,5x6-0B-CUI,5x6-0B-ARE,5x6-0A-CAX,5x6-0A-DYQ,5x6-0A-CBI
2029-02-11,mon-peak,20,99,59,42,34,28,24,5x6-0A-DIS,5x6-0A-CQM,5x6-0A-CCU,5x6-0B-ANN,5x6-0A-BYN,5x6-0A-DYO,5x6-0A-CAU
2029-02-18,mon-peak,20,99,59,42,34,28,24,5x6-0A-DIQ,5x6-0A-AHO,5x6-0A-BZM,5x6-0A-EBM,5x6-0A-BXC,5x6-0A-DVH,5x6-0A-BRP
2029-02-25,mon-peak,20,98,59,42,34,28,24,5x6-0A-DGQ,5x6-0B-BAS,5x6-0A-BAK,5x6-0A-CWJ,5x6-0A-BWY,5x6-0A-DJD,5x6-0A-BNX
2029-03-04,mon-peak,20,59,49,42,34,28,24,5x6-0A-DGG,5x6-0A-AWW,5x6-0B-BOO,5x6-0A-CQE,5x6-0A-BTV,5x6-0A-DHY,5x6-0A-BMS
2029-03-11,mon-peak,20,97,58,42,34,28,24,5x6-0A-DEW,5x6-0A-AUW,5x6-0A-CYQ,5x6-0A-CLH,5x6-0A-BMV,5x6-0A-DCA,5x6-0A-AZR
2029-03-18,mon-peak,20,96,58,42,34,28,24,5x6-0A-DDM,5x6-0B-BBN,5x6-0A-CMI,5x6-0A-CLD,5x6-0A-AYT,5x6-0A-CTU,5x6-0A-AWC
2029-03-25,mon-peak,20,58,48,42,34,28,24,5x6-0A-DBI,5x6-0A-CHT,5x6-0B-BPG,5x6-0A-CIU,5x6-0A-ASA,5x6-0A-CSS,5x6-0A-AUQ
2029-04-01,mon-peak,20,58,48,42,34,28,24,5x6-0A-CZF,5x6-0A-AIR,5x6-0B-CXW,5x6-0A-CGF,5x6-0A-ARK,5x6-0A-CSB,5x6-0A-AOR
2029-04-08,mon-peak,20,48,42,34,29,28,24,5x6-0A-CXW,5x6-0B-CZJ,5x6-0A-CBK,5x6-0A-ALN,5x6-0B-BJJ,5x6-0A-CQR,5x6-0A-AMT
2029-04-15,mon-peak,20,95,42,34,29,28,24,5x6-0A-CXV,5x6-0A-CSV,5x6-0A-BTU,5x6-0A-ALD,5x6-0B-BVG,5x6-0A-CQB,5x6-0A-AKT
2029-04-22,mon-peak,20,95,42,34,29,28,24,5x6-0A-CWN,5x6-0A-AWN,5x6-0A-BTF,5x6-0A-AJE,5x6-0B-CHM,5x6-0A-CQA,5x6-0A-AHB
2029-04-29,mon-peak,20,94,57,42,34,28,24,5x6-0A-CVQ,5x6-0A-BYG,5x6-0A-COD,5x6-0A-BNW,5x6-0A-AEJ,5x6-0A-CBO,5x6-0A-AFN
2029-05-06,mon-peak,20,57,47,42,28,24,20,5x6-0A-CSH,5x6-0A-BZH,5x6-0B-BRD,5x6-0A-BMF,5x6-0A-CAP,5x6-0A-AFK,5x6-0A-CRY
2029-05-13,mon-peak,17,93,57,42,28,24,20,5x6-0B-BFV,5x6-0A-CUK,5x6-0A-AUB,5x6-0A-BCV,5x6-0A-BWT,5x6-0A-AEG,5x6-0A-CRP
2029-05-20,mon-peak,17,92,57,42,28,20,17,5x6-0B-BQI,5x6-0B-AVP,5x6-0A-AEO,5x6-0A-AWX,5x6-0A-BVL,5x6-0A-CPL,5x6-0B-BWI
2029-05-27,mon-peak,12,92,56,42,28,20,17,5x6-0B-BGH,5x6-0A-ATX,5x6-0B-AXB,5x6-0A-ASK,5x6-0A-BVI,5x6-0A-CNK,5x6-0B-CJS
2029-06-03,mon-peak,12,56,46,42,28,20,17,5x6-0B-BHJ,5x6-0B-AND,5x6-0B-BHD,5x6-0A-AIS,5x6-0A-BSI,5x6-0A-CFS,5x6-0B-CPO
2029-06-10,mon-peak,12,56,46,42,28,20,17,5x6-0B-BJA,5x6-0A-CPS,5x6-0B-CGO,5x6-0A-AFU,5x6-0A-BIZ,5x6-0A-CEO,5x6-0B-CQR
2029-06-17,mon-peak,12,56,46,42,28,20,17,5x6-0B-BKA,5x6-0A-CDN,5x6-0B-CGS,5x6-0A-AFL,5x6-0A-BCQ,5x6-0A-CDA,5x6-0B-CTY
2029-06-24,mon-peak,12,91,56,33,28,21,20,5x6-0B-BNM,5x6-0A-AVL,5x6-0A-CBZ,5x6-0A-DHN,5x6-0A-AVC,5x6-0B-BQH,5x6-0A-CBJ
2029-07-01,mon-peak,12,90,56,33,28,21,20,5x6-0B-BVN,5x6-0B-BAU,5x6-0A-CBU,5x6-0A-DCH,5x6-0A-AUI,5x6-0B-CBT,5x6-0A-BZJ
2029-07-08,mon-peak,12,90,56,41,33,28,20,5x6-0B-BWE,5x6-0A-COI,5x6-0A-AGO,5x6-0A-CYI,5x6-0A-CTW,5x6-0A-AST,5x6-0A-BYZ
2029-07-15,mon-peak,12,56,45,41,33,28,20,5x6-0B-BWN,5x6-0A-AFQ,5x6-0B-BZR,5x6-0A-CKH,5x6-0A-CTE,5x6-0A-ASI,5x6-0A-BXW
2029-07-22,mon-peak,12,88,41,33,28,28,20,5x6-0B-BWU,5x6-0B-ASP,5x6-0A-CHX,5x6-0A-COJ,5x6-0A-API,5x6-0B-DBZ,5x6-0A-BWR
2029-07-29,mon-peak,11,88,41,33,28,20,20,5x6-0B-CPJ,5x6-0A-CDP,5x6-0A-CDE,5x6-0A-CNR,5x6-0A-AOI,5x6-0A-BQM,5x6-0A-BQT
2029-08-05,mon-peak,12,20,20,20,20,20,20,5x6-0B-BXX,5x6-0A-ARZ,5x6-0A-AUJ,5x6-0A-AYI,5x6-0A-BCF,5x6-0A-BGH,5x6-0A-BKH
2029-08-12,mon-peak,20,,,,,,,5x6-0A-BNS,,,,,,
