challenge_date,level_id,total_solutions,,Day Of Week,Weekly,
2027-10-17,5x6-0A-AXW.json,25,,6,493,
2027-10-18,5x6-0A-CLX.json,21,,1,494,
2027-10-19,5x6-0A-BBC.json,79,,2,495,
2027-10-20,5x6-0A-CHV.json,48,,3,496,
2027-10-21,5x6-0A-BXZ.json,36,,4,497,
2027-10-22,5x6-0A-CLC.json,30,,5,498,
2027-10-23,5x6-0A-BAT.json,25,,6,499,
2027-10-24,5x6-0A-CSK.json,21,,1,500,
2027-10-25,5x6-0A-AVJ.json,78,,2,501,
2027-10-26,5x6-0A-CWK.json,48,,3,502,
2027-10-27,5x6-0A-CCW.json,36,,4,503,
2027-10-28,5x6-0A-CTP.json,30,,5,504,
2027-10-29,5x6-0A-BIB.json,25,,6,505,
2027-10-30,5x6-0A-CVC.json,21,,1,506,
2027-10-31,5x6-0A-CLY.json,78,,2,507,
2027-11-01,5x6-0A-CWO.json,48,,3,508,
2027-11-02,5x6-0A-CDT.json,36,,4,509,
2027-11-03,5x6-0A-CVV.json,30,,5,510,
2027-11-04,5x6-0A-BRE.json,25,,6,511,
2027-11-05,5x6-0A-CVZ.json,21,,1,512,
2027-11-06,5x6-0A-CUQ.json,78,,2,513,
2027-11-07,5x6-0A-AFE.json,47,,3,514,
2027-11-08,5x6-0A-CIO.json,36,,4,515,
2027-11-09,5x6-0A-CYW.json,30,,5,516,
2027-11-10,5x6-0A-BRS.json,25,,6,517,
2027-11-11,5x6-0A-CYU.json,21,,1,518,
2027-11-12,5x6-0A-DIW.json,78,,2,519,
2027-11-13,5x6-0A-AGZ.json,47,,3,520,
2027-11-14,5x6-0A-CKK.json,36,,4,521,
2027-11-15,5x6-0A-DEG.json,30,,5,522,
2027-11-16,5x6-0A-CBG.json,25,,6,523,
2027-11-17,5x6-0A-DCY.json,21,,1,524,
2027-11-18,5x6-0A-AHN.json,77,,2,525,
2027-11-19,5x6-0A-AHR.json,47,,3,526,
2027-11-20,5x6-0A-CMA.json,36,,4,527,
2027-11-21,5x6-0A-DID.json,30,,5,528,
2027-11-22,5x6-0A-CCO.json,25,,6,529,
2027-11-23,5x6-0A-DER.json,21,,1,530,
2027-11-24,5x6-0A-CWR.json,77,,2,531,
2027-11-25,5x6-0A-ASC.json,47,,3,532,
2027-11-26,5x6-0A-CVR.json,36,,4,533,
2027-11-27,5x6-0A-DKY.json,30,,5,534,
2027-11-28,5x6-0A-CIG.json,25,,6,535,
2027-11-29,5x6-0A-DIU.json,21,,1,536,
2027-11-30,5x6-0A-AHU.json,76,,2,537,
2027-12-01,5x6-0A-AWU.json,47,,3,538,
2027-12-02,5x6-0A-DWH.json,36,,4,539,
2027-12-03,5x6-0A-DMI.json,30,,5,540,
2027-12-04,5x6-0A-CIQ.json,25,,6,541,
2027-12-05,5x6-0A-DKV.json,21,,1,542,
2027-12-06,5x6-0A-AWZ.json,76,,2,543,
2027-12-07,5x6-0A-AZE.json,47,,3,544,
2027-12-08,5x6-0B-AWO.json,36,,4,545,
2027-12-09,5x6-0A-DXD.json,30,,5,546,
2027-12-10,5x6-0A-CKB.json,25,,6,547,
2027-12-11,5x6-0A-DQB.json,21,,1,548,
2027-12-12,5x6-0A-BWZ.json,76,,2,549,
2027-12-13,5x6-0A-BMW.json,47,,3,550,
2027-12-14,5x6-0B-AYN.json,36,,4,551,
2027-12-15,5x6-0C-AAA.json,30,,5,552,
2027-12-16,5x6-0A-CKL.json,25,,6,553,
2027-12-17,5x6-0A-DUI.json,21,,1,554,
2027-12-18,5x6-0A-AFP.json,75,,2,555,
2027-12-19,5x6-0A-CAT.json,47,,3,556,
2027-12-20,4x5-0A-BAN.json,35,,4,557,
2027-12-21,5x6-0A-AZD.json,29,,5,558,
2027-12-22,5x6-0A-CMW.json,25,,6,559,
2027-12-23,5x6-0A-DWQ.json,21,,1,560,
2027-12-24,5x6-0A-CCY.json,75,,2,561,
2027-12-25,5x6-0A-COC.json,47,,3,562,
2027-12-26,5x6-0A-AIV.json,35,,4,563,
2027-12-27,5x6-0A-BAP.json,29,,5,564,
2027-12-28,5x6-0A-CPF.json,25,,6,565,
2027-12-29,5x6-0A-DZW.json,21,,1,566,
2027-12-30,5x6-0A-CUW.json,75,,2,567,
2027-12-31,5x6-0B-ANM.json,47,,3,568,
2028-01-01,5x6-0A-AWR.json,35,,4,569,
2028-01-02,5x6-0A-BLV.json,29,,5,570,
2028-01-03,5x6-0A-DCN.json,25,,6,571,
2028-01-04,5x6-0A-EBF.json,21,,1,572,
2028-01-05,5x6-0B-ANI.json,75,,2,573,
2028-01-06,5x6-0A-BTI.json,46,,3,574,
2028-01-07,5x6-0A-BAG.json,35,,4,575,
2028-01-08,5x6-0A-BWK.json,29,,5,576,
2028-01-09,5x6-0A-DGJ.json,25,,6,577,
2028-01-10,5x6-0B-ANL.json,21,,1,578,
2028-01-11,5x6-0B-AQF.json,75,,2,579,
2028-01-12,5x6-0A-CLG.json,46,,3,580,
2028-01-13,5x6-0A-BLM.json,35,,4,581,
2028-01-14,5x6-0A-CBE.json,29,,5,582,
2028-01-15,5x6-0A-EBI.json,25,,6,583,
2028-01-16,5x6-0B-ANQ.json,21,,1,584,
2028-01-17,5x6-0A-AUY.json,74,,2,585,
2028-01-18,5x6-0A-CUF.json,46,,3,586,
2028-01-19,5x6-0A-CBW.json,35,,4,587,
2028-01-20,5x6-0A-CNG.json,29,,5,588,
2028-01-21,5x6-0A-AEG.json,24,,6,589,
2028-01-22,5x6-0B-ATS.json,21,,1,590,
2028-01-23,5x6-0A-BWL.json,74,,2,591,
2028-01-24,5x6-0B-AXO.json,46,,3,592,
2028-01-25,5x6-0A-CGC.json,35,,4,593,
2028-01-26,5x6-0A-CWT.json,29,,5,594,
2028-01-27,5x6-0A-AFK.json,24,,6,595,
2028-01-28,5x6-0B-AWY.json,21,,1,596,
2028-01-29,5x6-0A-COP.json,74,,2,597,
2028-01-30,5x6-0A-ASO.json,45,,3,598,
2028-01-31,5x6-0A-CIS.json,35,,4,599,
2028-02-01,5x6-0A-DCJ.json,29,,5,600,
2028-02-02,5x6-0A-AFN.json,24,,6,601,
2028-02-03,5x6-0A-ADX.json,20,,1,602,
2028-02-04,5x6-0A-BZI.json,73,,2,603,
2028-02-05,5x6-0A-AVM.json,45,,3,604,
2028-02-06,5x6-0A-CLF.json,35,,4,605,
2028-02-07,5x6-0A-DDB.json,29,,5,606,
2028-02-08,5x6-0A-AHB.json,24,,6,607,
2028-02-09,5x6-0A-AMB.json,20,,1,608,
2028-02-10,5x6-0A-BZX.json,73,,2,609,
2028-02-11,5x6-0A-BAO.json,45,,3,610,
2028-02-12,5x6-0A-CMJ.json,35,,4,611,
2028-02-13,5x6-0A-DOQ.json,29,,5,612,
2028-02-14,5x6-0A-AKT.json,24,,6,613,
2028-02-15,5x6-0A-AOM.json,20,,1,614,
2028-02-16,5x6-0A-CML.json,73,,2,615,
2028-02-17,5x6-0A-BCR.json,45,,3,616,
2028-02-18,5x6-0A-COL.json,35,,4,617,
2028-02-19,5x6-0A-DQN.json,29,,5,618,
2028-02-20,5x6-0A-AMT.json,24,,6,619,
2028-02-21,5x6-0A-APL.json,20,,1,620,
2028-02-22,5x6-0A-AEL.json,72,,2,621,
2028-02-23,5x6-0A-BFY.json,45,,3,622,
2028-02-24,5x6-0A-CQZ.json,35,,4,623,
2028-02-25,5x6-0A-DSQ.json,29,,5,624,
2028-02-26,5x6-0A-AOR.json,24,,6,625,
2028-02-27,5x6-0A-APP.json,20,,1,626,
2028-02-28,5x6-0A-CQD.json,72,,2,627,
2028-02-29,5x6-0A-BRR.json,45,,3,628,
2028-03-01,5x6-0A-CRQ.json,35,,4,629,
2028-03-02,5x6-0B-AQS.json,29,,5,630,
2028-03-03,5x6-0A-AUQ.json,24,,6,631,
2028-03-04,5x6-0A-ARX.json,20,,1,632,
2028-03-05,5x6-0A-CTZ.json,72,,2,633,
2028-03-06,5x6-0A-BTH.json,45,,3,634,
2028-03-07,5x6-0A-CSU.json,35,,4,635,
2028-03-08,4x5-0A-BDN.json,28,,5,636,
2028-03-09,5x6-0A-AWC.json,24,,6,637,
2028-03-10,5x6-0A-ARZ.json,20,,1,638,
2028-03-11,5x6-0B-AWV.json,72,,2,639,
2028-03-12,5x6-0A-BZC.json,45,,3,640,
2028-03-13,5x6-0A-CYX.json,35,,4,641,
2028-03-14,5x6-0A-AHJ.json,28,,5,642,
2028-03-15,5x6-0A-AZR.json,24,,6,643,
2028-03-16,5x6-0A-AUJ.json,20,,1,644,
2028-03-17,5x6-0B-AVF.json,71,,2,645,
2028-03-18,5x6-0A-CDH.json,45,,3,646,
2028-03-19,5x6-0A-DDA.json,35,,4,647,
2028-03-20,5x6-0A-AKM.json,28,,5,648,
2028-03-21,5x6-0A-BMS.json,24,,6,649,
2028-03-22,5x6-0A-AYI.json,20,,1,650,
2028-03-23,5x6-0A-AIX.json,70,,2,651,
2028-03-24,5x6-0A-CLJ.json,45,,3,652,
2028-03-25,5x6-0A-DDC.json,35,,4,653,
2028-03-26,5x6-0A-AMY.json,28,,5,654,
2028-03-27,5x6-0A-BNX.json,24,,6,655,
2028-03-28,5x6-0A-BCF.json,20,,1,656,
2028-03-29,5x6-0A-CDS.json,70,,2,657,
2028-03-30,5x6-0A-CQX.json,45,,3,658,
2028-03-31,5x6-0A-DIX.json,35,,4,659,
2028-04-01,5x6-0A-AOI.json,28,,5,660,
2028-04-02,5x6-0A-BRP.json,24,,6,661,
2028-04-03,5x6-0A-BGH.json,20,,1,662,
2028-04-04,5x6-0A-CTD.json,70,,2,663,
2028-04-05,5x6-0A-CUD.json,45,,3,664,
2028-04-06,5x6-0A-DKC.json,35,,4,665,
2028-04-07,5x6-0A-API.json,28,,5,666,
2028-04-08,5x6-0A-CAU.json,24,,6,667,
2028-04-09,5x6-0A-BKH.json,20,,1,668,
2028-04-10,5x6-0A-CWV.json,70,,2,669,
2028-04-11,5x6-0A-AFH.json,44,,3,670,
2028-04-12,5x6-0A-DWE.json,35,,4,671,
2028-04-13,5x6-0A-ASI.json,28,,5,672,
2028-04-14,5x6-0A-CBI.json,24,,6,673,
2028-04-15,5x6-0A-BNS.json,20,,1,674,
2028-04-16,5x6-0B-AXI.json,70,,2,675,
2028-04-17,5x6-0A-AFT.json,44,,3,676,
2028-04-18,5x6-0B-ASD.json,35,,4,677,
2028-04-19,5x6-0A-AST.json,28,,5,678,
2028-04-20,5x6-0A-CBQ.json,24,,6,679,
2028-04-21,5x6-0A-BQM.json,20,,1,680,
2028-04-22,5x6-0A-CBM.json,69,,2,681,
2028-04-23,5x6-0A-AZB.json,44,,3,682,
2028-04-24,4x5-0A-BCO.json,34,,4,683,
2028-04-25,5x6-0A-AUI.json,28,,5,684,
2028-04-26,5x6-0A-CCE.json,24,,6,685,
2028-04-27,5x6-0A-BQT.json,20,,1,686,
2028-04-28,5x6-0A-AHD.json,68,,2,687,
2028-04-29,5x6-0A-BAX.json,44,,3,688,
2028-04-30,5x6-0A-AEJ.json,34,,4,689,
2028-05-01,5x6-0A-AVC.json,28,,5,690,
2028-05-02,5x6-0A-CDM.json,24,,6,691,
2028-05-03,5x6-0A-BWR.json,20,,1,692,
2028-05-04,5x6-0A-CDL.json,68,,2,693,
2028-05-05,5x6-0A-CFU.json,44,,3,694,
2028-05-06,5x6-0A-AJE.json,34,,4,695,
2028-05-07,5x6-0A-BCQ.json,28,,5,696,
2028-05-08,5x6-0A-CKC.json,24,,6,697,
2028-05-09,5x6-0A-BXW.json,20,,1,698,
2028-05-10,5x6-0A-CSW.json,68,,2,699,
2028-05-11,5x6-0A-CIA.json,44,,3,700,
2028-05-12,5x6-0A-ALD.json,34,,4,701,
2028-05-13,5x6-0A-BIZ.json,28,,5,702,
2028-05-14,5x6-0A-CLU.json,24,,6,703,
2028-05-15,5x6-0A-BYZ.json,20,,1,704,
2028-05-16,5x6-0A-CPX.json,67,,2,705,
2028-05-17,5x6-0B-AYP.json,44,,3,706,
2028-05-18,5x6-0A-ALN.json,34,,4,707,
2028-05-19,5x6-0A-BSI.json,28,,5,708,
2028-05-20,5x6-0A-CMK.json,24,,6,709,
2028-05-21,5x6-0A-BZJ.json,20,,1,710,
2028-05-22,5x6-0B-APO.json,67,,2,711,
2028-05-23,5x6-0A-BCS.json,43,,3,712,
2028-05-24,5x6-0A-ARK.json,34,,4,713,
2028-05-25,5x6-0A-BVI.json,28,,5,714,
2028-05-26,5x6-0A-CNE.json,24,,6,715,
2028-05-27,5x6-0A-CBJ.json,20,,1,716,
2028-05-28,5x6-0B-ASG.json,67,,2,717,
2028-05-29,5x6-0A-BTT.json,43,,3,718,
2028-05-30,5x6-0A-ASA.json,34,,4,719,
2028-05-31,5x6-0A-BVL.json,28,,5,720,
2028-06-01,5x6-0A-CNI.json,24,,6,721,
2028-06-02,5x6-0A-CDA.json,20,,1,722,
2028-06-03,5x6-0A-AVE.json,66,,2,723,
2028-06-04,5x6-0A-BZN.json,43,,3,724,
2028-06-05,5x6-0A-AYT.json,34,,4,725,
2028-06-06,5x6-0A-BWT.json,28,,5,726,
2028-06-07,5x6-0A-CNM.json,24,,6,727,
2028-06-08,5x6-0A-CEO.json,20,,1,728,
2028-06-09,5x6-0A-AVF.json,66,,2,729,
2028-06-10,5x6-0A-CBY.json,43,,3,730,
2028-06-11,5x6-0A-BMV.json,34,,4,731,
2028-06-12,5x6-0A-CAP.json,28,,5,732,
2028-06-13,5x6-0A-CPV.json,24,,6,733,
2028-06-14,5x6-0A-CFS.json,20,,1,734,
2028-06-15,5x6-0A-BZD.json,66,,2,735,
2028-06-16,5x6-0A-COF.json,43,,3,736,
2028-06-17,5x6-0A-BTV.json,34,,4,737,
2028-06-18,5x6-0A-CBO.json,28,,5,738,
2028-06-19,5x6-0A-CSI.json,24,,6,739,
2028-06-20,5x6-0A-CNK.json,20,,1,740,
2028-06-21,5x6-0A-CVS.json,66,,2,741,
2028-06-22,5x6-0A-COM.json,43,,3,742,
2028-06-23,5x6-0A-BWY.json,34,,4,743,
2028-06-24,5x6-0A-CQA.json,28,,5,744,
2028-06-25,5x6-0A-CVI.json,24,,6,745,
2028-06-26,5x6-0A-CPL.json,20,,1,746,
2028-06-27,5x6-0A-CYJ.json,66,,2,747,
2028-06-28,5x6-0A-CPY.json,43,,3,748,
2028-06-29,5x6-0A-BXC.json,34,,4,749,
2028-06-30,5x6-0A-CQB.json,28,,5,750,
2028-07-01,5x6-0A-CXB.json,24,,6,751,
2028-07-02,5x6-0A-CRP.json,20,,1,752,
2028-07-03,5x6-0A-DXB.json,66,,2,753,
2028-07-04,5x6-0A-CQF.json,43,,3,754,
2028-07-05,5x6-0A-BYN.json,34,,4,755,
2028-07-06,5x6-0A-CQR.json,28,,5,756,
2028-07-07,5x6-0A-DBH.json,24,,6,757,
2028-07-08,5x6-0A-CRY.json,20,,1,758,
2028-07-09,5x6-0A-AUA.json,65,,2,759,
2028-07-10,5x6-0A-DQM.json,43,,3,760,
2028-07-11,5x6-0A-CAX.json,34,,4,761,
2028-07-12,5x6-0A-CSB.json,28,,5,762,
2028-07-13,5x6-0A-DCL.json,24,,6,763,
2028-07-14,5x6-0A-CSH.json,20,,1,764,
2028-07-15,5x6-0A-BZZ.json,65,,2,765,
2028-07-16,5x6-0B-ANZ.json,43,,3,766,
2028-07-17,5x6-0A-CHR.json,34,,4,767,
2028-07-18,5x6-0A-CSS.json,28,,5,768,
2028-07-19,5x6-0A-DIA.json,24,,6,769,
2028-07-20,5x6-0A-CVQ.json,20,,Special,769,
2028-07-21,5x6-0A-CWN.json,20,,Special,770,
2028-07-22,5x6-0A-CXV.json,20,,Special,771,
2028-07-23,5x6-0A-CXW.json,20,,Special,772,
2028-07-24,5x6-0A-CZF.json,20,,Special,773,
2028-07-25,5x6-0A-DBI.json,20,,Special,774,
2028-07-26,5x6-0A-DDM.json,20,,Special,775,
2028-07-27,5x6-0A-DEW.json,20,,Special,776,
2028-07-28,5x6-0A-DGG.json,20,,Special,777,
2028-07-29,5x6-0A-DGQ.json,20,,Special,778,
2028-07-30,5x6-0A-DIQ.json,20,,Special,779,
2028-07-31,5x6-0A-DIS.json,20,,Special,780,
2028-08-01,5x6-0A-DIT.json,20,,Special,781,
2028-08-02,5x6-0A-DKS.json,20,,Special,782,
2028-08-03,5x6-0A-DKW.json,20,,Special,783,
2028-08-04,5x6-0A-DRG.json,20,,Special,784,
2028-08-05,5x6-0A-DVX.json,20,,Special,785,
2028-08-06,5x6-0A-DWY.json,20,,Special,786,
2028-08-07,5x6-0A-DYX.json,20,,Special,787,
2028-08-08,5x6-0A-DZP.json,20,,Special,788,
2028-08-09,5x6-0B-ANG.json,20,,Special,789,
2028-08-10,5x6-0B-ANX.json,20,,Special,790,
2028-08-11,5x6-0B-ARC.json,20,,Special,791,
2028-08-12,5x6-0B-AVI.json,20,,Special,792,
2028-08-13,5x6-0B-AXA.json,20,,Special,793,
